label,text
0,go jurong point avail bugi n great world la e buffet cine got amor wat
0,ok lar joke wif u oni
1,free entri wkli comp win fa cup final tkt may text fa receiv entri question std txt rate c appli
0,u dun say earli hor u c alreadi say
0,nah think goe usf live around though
1,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
0,even brother like speak treat like aid patent
0,per request mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
1,winner valu network custom select receivea prize reward claim call claim code valid hour
1,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
0,gon na home soon want talk stuff anymor tonight k cri enough today
1,six chanc win cash pound txt send cost tsandc appli repli hl info
1,urgent week free membership prize jackpot txt word claim c lccltd pobox
0,search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,date sunday
1,xxxmobilemovieclub use credit click wap link next txt messag click http
0,oh k watch
0,eh u rememb spell name ye v naughti make v wet
0,fine way u feel way gota b
1,england v macedonia dont miss news txt ur nation team eg england tri wale scotland
0,serious spell name
0,go tri month ha ha joke
0,pay first lar da stock comin
0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
0,ffffffffff alright way meet sooner
0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
0,lol alway convinc
0,catch bu fri egg make tea eat mom left dinner feel love
0,back amp pack car let know room
0,ahhh work vagu rememb feel like lol
0,wait still clear sure sarcast x want live us
0,yeah got v apologet n fallen actin like spoilt child got caught till wo go badli cheer
0,k tell anyth
0,fear faint housework quick cuppa
1,thank subscript rington uk mobil charg pleas confirm repli ye repli charg
0,yup ok go home look time msg xuhui go learn may lesson
0,oop let know roommat done
0,see letter b car
0,anyth lor u decid
0,hello saturday go text see decid anyth tomo tri invit anyth
0,pl go ahead watt want sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummi
1,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
0,see
0,great hope like man well endow lt gt inch
0,call
0,get hep b immunis nigeria
0,fair enough anyth go
0,yeah hope tyler ca could mayb ask around bit
0,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
0,think first time saw class
0,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
0,k fyi x ride earli tomorrow morn crash place tonight
