label,text
ham,juron point crazi avail bug great world la e buffet cine got amor wat
ham,ok lar joke wif you oni
spam,free entri wili comp win fa cup final tit 2005 text fa eightyseven thousand twentynin receiv entri question sad text rate appli 08452810075over18
ham,you dun earli hor you
ham,nah think goe live
spam,free hey darl week word like fun ok sad cog send ps150 rev
ham,brother like speak treat like aid patent
ham,request bell bell minnaminungint nurungu vet set callertun caller press 9 copi friend callertun
spam,winner valu network custom select receiv ps900 prize reward claim 09061701461 claim code kl341 valid hour
spam,mobil month you entitl updat latest colour mobil camera free mobil updat free billion million eightysix thousand thirti
ham,gon na home soon want talk stuff anymor tonight cri today
spam,chanc win cash 20000 pound text csh11 send 87575 cost 150pday day 16 stand appli repli info
spam,urgent week free membership ps100000 prize jackpot text word claim eightsom thousand wwwdbuknet lccltd poor 4403ldnw1a7rw18
ham,search right word thank breather promis wont help grant fulfil promis wonder bless time
ham,date sunday
spam,xxxmobilemovieclub use credit click link text messag click help xxxmobilemovieclubcom nqjkgighjjgcbl
ham,oh watch
ham,eh you rememb spell ye naughti wet
ham,fine that way you feel that way gota
spam,england macedonia dont miss goalsteam news text ur nation team eightyseven thousand seventyseven england eightyseven thousand seventyseven tri wale scotland 4txtu120 poboxox36504w45wq 16
ham,serious spell
ham,' go tri month ha ha joke
ham,u pay lar da stock comin
ham,aft finish lunch star lor ard smith lor you finish ur lunch
ham,ffffffffff alright way meet sooner
ham,forc eat slice hungri tho suck mark get worri know sick turn pizza laugh out loud
ham,laugh out loud convinc
ham,catch bu fri egg tea eat mom left dinner feel love
ham,amp pack car let know room
ham,ahah work vagu rememb feel like laugh out loud
ham,wait clear sure sarcast want live
ham,yeah got apologet fallen actin like spoilt child got caught till wo badli cheer
ham,tell
ham,fear faint housework quick cuppa
spam,thank subscript rington uk mobil charg ps5month confirm repli ye repli charg
ham,yup ok home look time mug u shui go learn lesson
ham,oop let know roommat
ham,letter car
ham,lor you decid
ham,hello saturday text decid tomo tri invit
ham,plu ahead watt want sure great weekend viola
ham,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,seven billion seven thirtytwo million eightyfour thousand fiftyon rodger burn mug tri repli sum free nakia mobil free camcord billion thirti thousand seven deliveri tomorrow
ham,see
ham,great hope like man endow inch
ham,callsmessagesmiss call
ham,hep immunis nigeria
ham,fair go
ham,yeah hope tyler mayb ask bit
ham,you know stubborn want hospit kept tell mark weak sucker hospit weak sucker
ham,think time saw class
ham,gram usual run like half eighth smarter get second gram
ham,for your inform ride earli tomorrow morn crash place tonight
ham,wow realiz embarass accomod thought like best happi cave sorri sorri offer sorri room embarass
spam,sum ac spiv new jersey devil detroit red wing play ice hockey correct incorrect end repli end spiv
ham,know malvika sherawat yesterday url
